name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
G2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad	excel-file-labeled
G3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G5	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G6	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G7	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G8	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G10	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	bad	excel-file-labeled
G11	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G12	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G15	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G16	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G19	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G20	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G21	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G22	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G23	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G24	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G27	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G28	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G29	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G13	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G14	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G30	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G31	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
G32	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TT1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TT2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TT3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
